City Name,State,Population,lat,lng
Phenix City,Alabama,42267,32.4585,-85.0253
Phenix City,Alabama,16800,32.4585,-85.0253
Pell City,Alabama,17586,33.561,-86.2669
Munford,Alabama,4467,33.5258,-85.9555
Chatom,Alabama,2037,31.4691,-88.246
Camden,Alabama,4170,32.0007,-87.2967
Ardmore,Alabama,3903,34.9847,-86.8373
Fort Payne,Alabama,47070,34.4559,-85.6965
Forkland,Alabama,1137,32.6489,-87.8671
Cullman,Alabama,350,34.1775,-86.8407
Autaugaville,Alabama,5106,32.432,-86.6578
Robertsdale,Alabama,5496,30.5535,-87.7023
Cave City,Arkansas,3045,35.9481,-91.5468
Mountain Home,Arkansas,22,36.3351,-92.384
Pago Pago,American Samoa,440,-14.2754786,-170.7048298
Pago Pago,American Samoa,585,-14.2754786,-170.7048298
Pago Pago,American Samoa,45315,-14.2754786,-170.7048298
Greer,Arizona,101,34.0054,-109.4611
Springerville,Arizona,1972,34.156,-109.2988
St. Johns,Arizona,540,34.5018,-109.3784
Benson,Arizona,5355,31.9157,-110.3257
Sierra Vista,Arizona,2178,31.563,-110.3153
Sierra Vista,Arizona,20045,31.563,-110.3153
Pomerene,Arizona,1030,31.999527,-110.286183
Douglas,Arizona,16656,31.3602,-109.5394
Tucson,Arizona,1750,32.1541,-110.8787
San Simon,Arizona,312,32.2682,-109.2302
Tombstone,Arizona,1545,31.7234,-110.0798
Willcox,Arizona,3757,32.2515,-109.8359
Douglas,Arizona,83,31.3602,-109.5394
Tucson,Arizona,150,32.1541,-110.8787
Sierra Vista,Arizona,12804,31.563,-110.3153
Elgin,Arizona,54,31.6681,-110.5347
Sierra Vista,Arizona,315,31.563,-110.3153
Pearce,Arizona,100,31.9050865,-109.8206232
Dragoon,Arizona,15603,32.0272,-110.0369
Sierra Vista,Arizona,665,31.563,-110.3153
Hereford,Arizona,446,31.4384325,-110.0978554
Hereford,Arizona,231,31.4384325,-110.0978554
Benson,Arizona,70,31.9157,-110.3257
Phoenix,Arizona,8083,33.5722,-112.0892
Phoenix,Arizona,12104,33.5722,-112.0892
Flagstaff,Arizona,8996,35.1872,-111.6194
Cameron,Arizona,1270,35.8537,-111.4269
Flagstaff,Arizona,76960,35.1872,-111.6194
Phoenix,Arizona,1140,33.5722,-112.0892
St. Louis,Arizona,210,,
Williams,Arizona,3145,35.2476,-112.1834
Happy Jack,Arizona,1920,34.7428521,-111.4093051
Mayer,Arizona,350,34.4233,-112.2408
Williams,Arizona,1423,35.2476,-112.1834
Huntington Beach,Arizona,400,,
Flagstaff,Arizona,25,35.1872,-111.6194
Flagstaff,Arizona,32,35.1872,-111.6194
Grand Canyon,Arizona,16590,36.0980405,-112.0962787
Page,Arizona,4439,36.9426,-111.5071
St. Louis,Arizona,497,,
Globe,Arizona,7536,33.387,-110.7513
Hayden,Arizona,417,32.9995,-110.7814
Pine,Arizona,400,34.3788,-111.4574
St. Louis,Arizona,512,,
Payson,Arizona,66,34.2433,-111.3195
Payson,Arizona,35,34.2433,-111.3195
Payson,Arizona,976,34.2433,-111.3195
Payson,Arizona,200,34.2433,-111.3195
St. Louis,Arizona,266,,
Payson,Arizona,117,34.2433,-111.3195
Tonto Basin,Arizona,90,33.837,-111.2999
Chandler,Arizona,138,33.2825,-111.8514
Pine,Arizona,90,34.3788,-111.4574
Beverly Hills,Arizona,400,34.582604567212016,-109.06111844115654
Roosevelt,Arizona,300,33.6618,-111.1295
Roosevelt,Arizona,241,33.6618,-111.1295
Thatcher,Arizona,20600,32.8323,-109.7595
Safford,Arizona,800,32.8335,-109.6964
Morenci,Arizona,1697,33.0539,-109.331
St. Louis,Arizona,604,,
Litchfield Park,Arizona,700,33.5024,-112.3588
Sun City,Arizona,976,33.6165,-112.2819
Tempe,Arizona,1375,33.3881,-111.9319
Cave Creek,Arizona,5895,33.8513,-111.9801
El Mirage,Arizona,26026,33.5905,-112.3271
Buckeye,Arizona,2175,33.4314,-112.6429
Phoenix,Arizona,1695000,33.5722,-112.0892
Cave Creek,Arizona,4220,33.8513,-111.9801
Litchfield Park,Arizona,50770,33.5024,-112.3588
Gila Bend,Arizona,150,32.9662,-112.7154
El Mirage,Arizona,14107,33.5905,-112.3271
Tucson,Arizona,813,32.1541,-110.8787
Gila Bend,Arizona,1922,32.9662,-112.7154
Peoria,Arizona,6490,33.7843,-112.2989
Phoenix,Arizona,434,33.5722,-112.0892
Scottsdale,Arizona,85,33.6872,-111.8651
Buckeye,Arizona,15309,33.4314,-112.6429
Phoenix,Arizona,60,33.5722,-112.0892
Avondale,Arizona,83001,33.3873,-112.3235
Buckeye,Arizona,7008,33.4314,-112.6429
Chandler,Arizona,247328,33.2825,-111.8514
El Mirage,Arizona,39884,33.5905,-112.3271
Gilbert,Arizona,247600,33.31,-111.7463
Phoenix,Arizona,234766,33.5722,-112.0892
Goodyear,Arizona,50001,33.2614,-112.3622
Mesa,Arizona,466000,33.4015,-111.7178
Peoria,Arizona,135975,33.7843,-112.2989
Cave Creek,Arizona,241361,33.8513,-111.9801
Tempe,Arizona,165000,33.3881,-111.9319
Tortilla Flat,Arizona,30,33.5264365,-111.3898523
Phoenix,Arizona,18858,33.5722,-112.0892
El Mirage,Arizona,25362,33.5905,-112.3271
Buckeye,Arizona,15783,33.4314,-112.6429
Sun City,Arizona,400,33.6165,-112.2819
Gila Bend,Arizona,145,32.9662,-112.7154
Wittmann,Arizona,50,33.7749,-112.525
Chandler,Arizona,26,33.2825,-111.8514
Phoenix,Arizona,600,33.5722,-112.0892
Luke Afb,Arizona,8440,33.5354345,-112.37352271720567
Phoenix,Arizona,500,33.5722,-112.0892
Dateland,Arizona,70,32.8209,-113.5418
Phoenix,Arizona,71,33.5722,-112.0892
Palo Verde,Arizona,450,33.3487145,-112.6774657
Buckeye,Arizona,775,33.4314,-112.6429
Gila Bend,Arizona,112,32.9662,-112.7154
Tonopah,Arizona,2500,33.488,-112.9308
Scottsdale,Arizona,120,33.6872,-111.8651
Gilbert,Arizona,53,33.31,-111.7463
Surprise,Arizona,40007,33.6815,-112.4515
El Mirage,Arizona,25302,33.5905,-112.3271
Edmonton,Arizona,27,32.17890689801163,-110.84406939016948
Surprise,Arizona,23963,33.6815,-112.4515
Surprise,Arizona,76,33.6815,-112.4515
El Mirage,Arizona,14723,33.5905,-112.3271
Phoenix,Arizona,70,33.5722,-112.0892
Buckeye,Arizona,235,33.4314,-112.6429
Buckeye,Arizona,4300,33.4314,-112.6429
Phoenix,Arizona,583,33.5722,-112.0892
New River,Arizona,345,33.8835,-112.0858
Mesa,Arizona,100,33.4015,-111.7178
Tucson,Arizona,62,32.1541,-110.8787
Buckeye,Arizona,60,33.4314,-112.6429
Phoenix,Arizona,500,33.5722,-112.0892
Phoenix,Arizona,211,33.5722,-112.0892
El Mirage,Arizona,80959,33.5905,-112.3271
Phoenix,Arizona,1500,33.5722,-112.0892
Buckeye,Arizona,84,33.4314,-112.6429
Buckeye,Arizona,25,33.4314,-112.6429
Buckeye,Arizona,306,33.4314,-112.6429
Phoenix,Arizona,66,33.5722,-112.0892
Tonopah,Arizona,72,33.488,-112.9308
Phoenix,Arizona,45,33.5722,-112.0892
Buckeye,Arizona,100,33.4314,-112.6429
Gila Bend,Arizona,100,32.9662,-112.7154
Buckeye,Arizona,376,33.4314,-112.6429
Buckeye,Arizona,184,33.4314,-112.6429
Chandler,Arizona,200,33.2825,-111.8514
Chloride,Arizona,350,35.4097,-114.1972
Littlefield,Arizona,1048,36.8659,-113.936
El Mirage,Arizona,4788,33.5905,-112.3271
San Francisco,Arizona,1500,,
Lake Havasu City,Arizona,54610,34.5006,-114.3113
Payson,Arizona,3970,34.2433,-111.3195
Bullhead City,Arizona,36330,35.1205,-114.5461
Kingman,Arizona,2538,35.217,-114.0105
St. Louis,Arizona,333,,
Mohave Valley,Arizona,125,34.9008,-114.5732
White Hills,Arizona,40,35.7242,-114.4004
Wikieup,Arizona,44,34.6931,-113.5995
Fort Mohave,Arizona,18000,35.0004,-114.5748
Bullhead City,Arizona,5190,35.1205,-114.5461
"Desert Springs,",Arizona,258,36.8976236,-113.905048
Valparaiso,Arizona,650,,
Kingman,Arizona,3950,35.217,-114.0105
Kingman,Arizona,135,35.217,-114.0105
Beaver Dam,Arizona,282,36.907,-113.9362
Littlefield,Arizona,400,36.8659,-113.936
St. Louis,Arizona,338,,
Washington,Arizona,415,32.931380000000004,-112.68080800000001
Meadview,Arizona,130,35.9532,-114.0789
Golden Valley,Arizona,3500,35.206,-114.2327
Lake Forest,Arizona,210,,
Lake Havasu City,Arizona,80,34.5006,-114.3113
Las Vegas,Arizona,205,34.78524845,-112.66619753131005
Boudler City,Arizona,1300,,
Boudler City,Arizona,305,,
Boudler City,Arizona,789,,
Heber,Arizona,839,34.431205,-110.593925
Lakeside,Arizona,322,34.154488,-109.9734405
Show Low,Arizona,17139,34.2671,-110.0384
Payson,Arizona,580,34.2433,-111.3195
Pinetop,Arizona,1233,34.1258775,-109.9376056
Payson,Arizona,198,34.2433,-111.3195
Pinedale,Arizona,376,34.3207,-110.2599
Holbrook,Arizona,540,34.9044,-110.1672
Ajo,Arizona,2654,32.3923,-112.8839
Green Valley,Arizona,22085,31.8393,-111.0009
Tucson,Arizona,6685,32.1541,-110.8787
Tucson,Arizona,272,32.1541,-110.8787
Sasabe,Arizona,42,31.4887016,-111.5420505
Phoenix,Arizona,235,33.5722,-112.0892
Phoenix,Arizona,4483,33.5722,-112.0892
Tucson,Arizona,16000,32.1541,-110.8787
Tucson,Arizona,4252,32.1541,-110.8787
Phoenix,Arizona,3627,33.5722,-112.0892
Tucson,Arizona,363,32.1541,-110.8787
Tucson,Arizona,4900,32.1541,-110.8787
Tucson,Arizona,732906,32.1541,-110.8787
Ajo,Arizona,400,32.3923,-112.8839
Tucson,Arizona,3435,32.1541,-110.8787
Tucson,Arizona,900,32.1541,-110.8787
Tucson,Arizona,300,32.1541,-110.8787
Green Valley,Arizona,8687,31.8393,-111.0009
Tucson,Arizona,252,32.1541,-110.8787
Oro Valley,Arizona,42316,32.4208,-110.9767
Tucson,Arizona,10217,32.1541,-110.8787
Tucson,Arizona,77,32.1541,-110.8787
Tucson,Arizona,25,32.1541,-110.8787
Amado,Arizona,54,31.6968,-111.0583
Tucson,Arizona,84,32.1541,-110.8787
Tucson,Arizona,50,32.1541,-110.8787
Tucson,Arizona,45,32.1541,-110.8787
Sahuarita,Arizona,18178,31.9323,-110.9654
