City Name,State,lat,lng
Golden Valley,Arizona,35.206,-114.2327
Lake Forest,Arizona,,
Lake Havasu City,Arizona,34.5006,-114.3113
Las Vegas,Arizona,34.78524845,-112.66619753131005
Boudler City,Arizona,,
Boudler City,Arizona,,
Boudler City,Arizona,,
Heber,Arizona,34.431205,-110.593925
Lakeside,Arizona,34.154488,-109.9734405
Show Low,Arizona,34.2671,-110.0384
Payson,Arizona,34.2433,-111.3195
Pinetop,Arizona,34.1258775,-109.9376056
Payson,Arizona,34.2433,-111.3195
Pinedale,Arizona,34.3207,-110.2599
Holbrook,Arizona,34.9044,-110.1672
Ajo,Arizona,32.3923,-112.8839
Green Valley,Arizona,31.8393,-111.0009
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Sasabe,Arizona,31.4887016,-111.5420505
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Phoenix,Arizona,33.5722,-112.0892
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Ajo,Arizona,32.3923,-112.8839
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Green Valley,Arizona,31.8393,-111.0009
Tucson,Arizona,32.1541,-110.8787
Oro Valley,Arizona,32.4208,-110.9767
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Amado,Arizona,31.6968,-111.0583
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Sahuarita,Arizona,31.9323,-110.9654
Tucson,Arizona,32.1541,-110.8787
Tucson,Arizona,32.1541,-110.8787
Hayden,Arizona,32.9995,-110.7814
Phoenix,Arizona,33.5722,-112.0892
Arizona City,Arizona,32.7506,-111.6707
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
San Tan Valley,Arizona,33.1786,-111.5629
Maricopa,Arizona,33.0408,-112.0011
Phoenix,Arizona,33.5722,-112.0892
Apache Junction,Arizona,33.3985,-111.535
Picacho,Arizona,32.709,-111.4909
Payson,Arizona,34.2433,-111.3195
Coolidge,Arizona,32.9363,-111.5254
Picacho,Arizona,32.709,-111.4909
Stanfield,Arizona,32.8794,-111.9636
Maricopa,Arizona,33.0408,-112.0011
Maricopa,Arizona,33.0408,-112.0011
Maricopa,Arizona,33.0408,-112.0011
San Tan Valley,Arizona,33.1786,-111.5629
Eloy,Arizona,32.747,-111.5992
Florence,Arizona,33.059,-111.4209
Phoenix,Arizona,33.5722,-112.0892
Apache Junction,Arizona,33.3985,-111.535
Maricopa,Arizona,33.0408,-112.0011
Marana,Arizona,32.4355,-111.1558
Kearny,Arizona,33.0564,-110.9074
Sierra Vista,Arizona,31.563,-110.3153
Maricopa,Arizona,33.0408,-112.0011
Coolidge,Arizona,32.9363,-111.5254
Kearny,Arizona,33.0564,-110.9074
Crystal River,Arizona,,
Maricopa,Arizona,33.0408,-112.0011
Maricopa,Arizona,33.0408,-112.0011
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
Maricopa,Arizona,33.0408,-112.0011
El Mirage,Arizona,33.5905,-112.3271
Nogales,Arizona,31.3624,-110.9336
Tucson,Arizona,32.1541,-110.8787
Sierra Vista,Arizona,31.563,-110.3153
Tucson,Arizona,32.1541,-110.8787
Sierra Vista,Arizona,31.563,-110.3153
Tubac,Arizona,31.6111,-111.0586
Nogales,Arizona,31.3624,-110.9336
Paulden,Arizona,34.8897,-112.4937
Ash Fork,Arizona,35.2171,-112.4913
Glendale,Arizona,33.5791,-112.2311
Bagdad,Arizona,34.5771,-113.1771
Sedona,Arizona,34.8581,-111.7941
Dewey,Arizona,34.5297551,-112.2421149
Tucson,Arizona,32.1541,-110.8787
Clarkdale,Arizona,34.7501,-112.0555
